用户id,最后一周登录天数,最后一周登录次数,最后一周0.8点登录次数,最后一周8.18点登录次数,最后一周18.24点登录次数,注册至今距离天数,是否付费
1000117399,2,3,1,1,1,19,0
1000117400,6,6,2,2,2,3,0
1000117401,5,7,3,1,3,17,0
1000117402,1,8,2,4,2,10,0
1000117403,2,6,2,3,1,10,0
1000117404,3,8,2,4,2,2,0
1000117405,6,4,1,1,2,14,0
1000117406,1,6,2,1,3,8,0
1000117407,4,3,1,1,1,17,0
1000117408,2,4,1,1,2,9,0
1000117409,3,10,3,4,3,12,0
1000117410,2,5,3,1,1,20,0
1000117411,5,9,3,4,2,11,0
1000117412,1,6,1,2,3,19,0
1000117413,4,6,2,2,2,11,0
1000117414,6,7,2,3,2,6,0
1000117415,4,6,2,3,1,5,0
1000117416,3,8,3,4,1,2,0
1000117417,5,8,2,3,3,1,0
1000117418,5,7,3,2,2,2,0
1000117419,2,6,1,4,1,2,0
1000117420,3,7,2,3,2,16,0
1000117421,4,5,1,2,2,2,0
1000117422,4,4,2,1,1,4,0
1000117423,3,6,2,3,1,4,0
1000117424,5,6,2,1,3,7,0
1000117425,6,7,2,3,2,19,0
1000117426,6,8,2,3,3,14,0
1000117427,5,6,2,1,3,3,0
1000117428,1,7,1,3,3,8,0
1000117429,4,6,1,2,3,7,0
1000117430,5,7,3,3,1,18,0
1000117431,2,7,1,3,3,4,0
1000117432,1,6,1,2,3,3,0
1000117433,5,4,2,1,1,12,0
1000117434,1,8,2,4,2,16,0
1000117435,6,9,3,3,3,17,0
1000117436,5,5,1,2,2,9,0
1000117437,4,7,2,4,1,14,0
1000117438,2,8,3,2,3,10,0
1000117439,2,7,2,2,3,7,0
1000117440,2,6,1,4,1,18,0
1000117441,1,9,3,3,3,7,0
1000117442,6,9,3,3,3,1,0
1000117443,5,7,3,3,1,5,0
1000117444,6,8,3,3,2,15,0
1000117445,4,7,3,3,1,11,0
1000117446,6,6,1,2,3,9,0
1000117447,5,7,2,4,1,17,0
1000117448,3,6,3,2,1,3,0
1000117449,1,8,3,3,2,2,0
1000117450,3,3,1,1,1,5,0
1000117451,2,6,3,1,2,14,0
1000117452,1,8,3,4,1,9,0
1000117453,1,8,3,4,1,14,0
1000117454,2,6,2,2,2,17,0
1000117455,3,7,2,4,1,5,0
1000117456,4,8,2,4,2,14,0
1000117457,1,7,2,3,2,11,0
1000117458,2,7,1,3,3,18,0
1000117459,1,5,1,1,3,10,0
1000117460,5,7,2,2,3,10,0
1000117461,4,4,1,2,1,7,0
1000117462,1,8,3,3,2,16,0
1000117463,5,8,3,4,1,3,0
1000117464,6,5,3,1,1,14,0
1000117465,6,8,3,2,3,3,0
1000117466,4,7,2,4,1,17,0
1000117467,5,6,2,3,1,5,0
1000117468,2,5,2,2,1,5,0
1000117469,2,6,2,2,2,5,0
1000117470,2,9,3,4,2,7,0
1000117471,3,7,1,3,3,18,0
1000117472,6,4,1,1,2,10,0
1000117473,5,7,2,2,3,15,0
1000117474,5,7,2,4,1,11,0
1000117475,4,5,2,1,2,18,0
1000117476,3,3,1,1,1,17,0
1000117477,6,5,2,2,1,18,0
1000117478,2,5,1,2,2,7,0
1000117479,3,7,2,3,2,14,0
1000117480,3,5,2,2,1,6,0
1000117481,2,9,3,4,2,16,0
1000117482,3,7,3,3,1,18,0
1000117483,6,7,1,3,3,14,0
1000117484,2,10,3,4,3,12,0
1000117485,1,8,1,4,3,15,0
1000117486,1,5,1,2,2,4,0
1000117487,3,8,3,4,1,5,0
1000117488,5,8,2,3,3,12,0
1000117489,6,7,3,2,2,14,0
1000117490,1,6,2,1,3,14,0
1000117491,2,6,2,1,3,3,0
1000117492,3,8,3,2,3,7,0
1000117493,3,7,2,4,1,13,0
1000117494,3,7,3,1,3,7,0
1000117495,2,7,3,3,1,11,0
1000117496,4,4,2,1,1,14,0
1000117497,3,9,3,3,3,13,0
1000117498,6,7,3,2,2,2,0
1000117499,5,8,3,3,2,19,0
1000117500,1,8,2,3,3,14,0
1000117501,2,6,2,1,3,12,0
1000117502,2,9,3,3,3,11,0
1000117503,4,6,1,2,3,6,0
1000117504,4,6,2,1,3,12,0
1000117505,3,7,2,2,3,3,0
1000117506,5,7,2,3,2,3,0
1000117507,5,6,2,3,1,8,0
1000117508,5,8,3,3,2,14,0
1000117509,5,7,2,3,2,13,0
1000117510,2,8,2,4,2,6,0
1000117511,6,9,2,4,3,4,0
1000117512,2,7,3,1,3,15,0
1000117513,6,7,3,1,3,1,0
1000117514,5,6,1,2,3,17,0
1000117515,4,8,3,2,3,6,0
1000117516,5,6,3,1,2,1,0
1000117517,1,6,1,4,1,2,0
1000117518,5,8,2,3,3,20,0
1000117519,3,6,3,1,2,1,0
1000117520,6,6,1,2,3,12,0
1000117521,3,6,3,1,2,11,0
1000117522,3,5,1,1,3,18,0
1000117523,1,8,1,4,3,20,0
1000117524,1,7,2,3,2,6,0
1000117525,5,7,3,3,1,14,0
1000117526,3,6,3,2,1,11,0
1000117527,3,6,1,2,3,9,0
1000117528,2,7,1,4,2,15,0
1000117529,1,4,2,1,1,10,0
1000117530,2,5,2,1,2,8,0
1000117531,2,5,1,2,2,6,0
1000117532,6,4,1,2,1,19,0
1000117533,1,7,3,3,1,15,0
1000117534,3,5,1,1,3,20,0
1000117535,3,7,3,3,1,14,0
1000117536,6,7,2,3,2,11,0
1000117537,3,4,2,1,1,15,0
1000117538,3,7,2,4,1,5,0
1000117539,6,7,2,4,1,4,0
1000117540,1,8,2,4,2,17,0
1000117541,5,5,2,2,1,15,0
1000117542,5,7,2,4,1,15,0
1000117543,3,9,2,4,3,17,0
1000117544,4,9,2,4,3,9,0
1000117545,4,7,2,4,1,3,0
1000117546,3,6,2,2,2,8,0
1000117547,4,8,1,4,3,18,0
1000117548,5,5,1,1,3,14,0
1000117549,2,6,1,2,3,19,0
1000117550,5,5,2,1,2,17,0
1000117551,3,7,3,3,1,10,0
1000117552,2,5,1,2,2,18,0
1000117553,2,8,2,4,2,14,0
1000117554,2,7,1,4,2,9,0
1000117555,3,10,3,4,3,8,0
1000117556,2,7,2,4,1,2,0
1000117557,1,10,3,4,3,14,0
1000117558,4,5,1,1,3,6,0
1000117559,4,5,3,1,1,4,0
1000117560,3,9,2,4,3,10,0
1000117561,5,6,1,2,3,10,0
1000117562,6,6,2,3,1,14,0
1000117563,6,6,1,3,2,3,0
1000117564,2,6,3,2,1,8,0
1000117565,1,6,1,4,1,20,0
1000117566,3,6,2,1,3,16,0
1000117567,6,9,3,3,3,4,0
1000117568,6,4,1,1,2,7,0
1000117569,3,7,3,2,2,20,0
1000117570,2,4,1,1,2,18,0
1000117571,1,6,1,3,2,16,0
1000117572,4,3,1,1,1,12,0
1000117573,3,5,1,2,2,14,0
1000117574,2,6,1,4,1,1,0
1000117575,2,9,3,4,2,10,0
1000117576,4,8,3,4,1,15,0
1000117577,6,5,1,1,3,14,0
1000117578,3,6,2,3,1,14,0
1000117579,6,8,3,4,1,16,0
1000117580,2,6,1,2,3,9,0
1000117581,4,10,3,4,3,10,0
1000117582,6,5,3,1,1,14,0
1000117583,6,5,3,1,1,6,0
1000117584,2,5,1,3,1,18,0
1000117585,6,7,1,4,2,20,0
1000117586,6,7,2,2,3,13,0
1000117587,1,5,2,1,2,19,0
1000117588,3,4,1,2,1,5,0
1000117589,5,7,3,3,1,18,0
1000117590,6,9,2,4,3,9,0
1000117591,1,6,1,2,3,18,0
1000117592,6,7,2,3,2,11,0
1000117593,6,8,3,3,2,9,0
1000117594,3,4,1,2,1,11,0
1000117595,6,10,3,4,3,14,0
1000117596,5,9,2,4,3,4,0
1000117597,1,7,3,3,1,10,0
1000117598,5,8,1,4,3,1,0
1000117599,4,8,2,4,2,7,0
1000117600,4,6,2,2,2,10,0
1000117601,5,10,3,4,3,6,0
1000117602,6,9,2,4,3,18,0
1000117603,1,6,1,3,2,18,0
1000117604,4,10,3,4,3,15,0
1000117605,5,3,1,1,1,8,0
1000117606,4,6,3,1,2,8,0
1000117607,1,4,2,1,1,6,0
1000117608,4,8,3,2,3,15,0
1000117609,1,8,2,4,2,19,0
1000117610,1,5,1,3,1,17,0
1000117611,6,6,2,3,1,15,0
1000117612,3,8,3,3,2,3,0
1000117613,1,6,1,3,2,10,0
1000117614,4,5,1,3,1,6,0
1000117615,4,9,3,3,3,15,0
1000117616,5,5,1,3,1,6,0
1000117617,3,6,3,1,2,4,0
1000117618,3,5,1,1,3,11,0
1000117619,4,9,3,3,3,14,0
1000117620,3,5,1,3,1,5,0
1000117621,4,10,3,4,3,4,0
1000117622,3,8,2,4,2,10,0
1000117623,6,6,2,2,2,6,0
1000117624,4,6,3,2,1,3,0
1000117625,2,6,2,3,1,3,0
1000117626,4,7,2,3,2,13,0
1000117627,4,5,2,1,2,1,0
1000117628,1,6,1,4,1,2,0
1000117629,4,8,3,4,1,11,0
1000117630,6,8,3,2,3,2,0
1000117631,6,6,3,2,1,6,0
1000117632,4,6,2,3,1,15,0
1000117633,5,8,3,4,1,5,0
1000117634,2,7,2,4,1,5,0
1000117635,5,6,2,1,3,3,0
1000117636,6,7,2,3,2,11,0
1000117637,1,6,1,3,2,20,0
1000117638,5,7,3,2,2,6,0
1000117639,6,6,1,2,3,20,0
1000117640,2,6,1,2,3,2,0
1000117641,6,5,1,3,1,3,0
1000117642,6,5,1,3,1,19,0
1000117643,6,6,2,2,2,4,0
1000117644,4,7,2,4,1,3,0
1000117645,2,6,2,2,2,8,0
1000117646,5,7,2,2,3,8,0
1000117647,2,8,1,4,3,19,0
1000117648,4,5,2,2,1,16,0
1000117649,3,7,3,1,3,12,0
1000117650,5,7,2,2,3,1,0
1000117651,5,5,3,1,1,12,0
1000117652,5,6,1,3,2,9,0
1000117653,4,6,3,1,2,1,0
1000117654,5,5,1,3,1,1,0
1000117655,2,8,3,3,2,12,0
1000117656,6,9,3,4,2,1,0
1000117657,5,6,2,1,3,11,0
1000117658,1,5,1,3,1,12,0
1000117659,4,8,1,4,3,13,0
1000117660,4,10,3,4,3,10,0
1000117661,1,9,2,4,3,14,0
1000117662,4,7,2,2,3,3,0
1000117663,4,10,3,4,3,6,0
1000117664,3,4,1,1,2,14,0
1000117665,3,7,2,3,2,19,0
1000117666,5,6,1,3,2,20,0
1000117667,4,5,2,2,1,18,0
1000117668,3,7,3,3,1,14,0
1000117669,3,9,3,3,3,13,0
1000117670,3,6,1,2,3,14,0
1000117671,3,6,1,3,2,20,0
1000117672,1,5,1,1,3,4,0
1000117673,1,9,2,4,3,12,0
1000117674,6,6,2,3,1,18,0
1000117675,3,9,2,4,3,10,0
1000117676,5,5,3,1,1,14,0
1000117677,2,9,3,3,3,12,0
1000117678,4,5,2,2,1,1,0
1000117679,5,6,3,2,1,7,0
1000117680,4,6,3,2,1,3,0
1000117681,4,9,3,3,3,15,0
1000117682,6,6,2,2,2,15,0
1000117683,3,7,3,1,3,8,0
1000117684,1,7,1,4,2,7,0
1000117685,6,8,3,3,2,3,0
1000117686,2,5,1,1,3,2,0
1000117687,1,6,2,1,3,10,0
1000117688,3,5,1,2,2,8,0
1000117689,2,6,2,3,1,20,0
1000117690,1,8,3,4,1,9,0
1000117691,6,5,1,3,1,6,0
1000117692,1,6,3,1,2,13,0
1000117693,3,6,1,2,3,11,0
1000117694,5,7,1,4,2,15,0
1000117695,4,8,1,4,3,18,0
1000117696,6,8,2,4,2,8,0
1000117697,3,9,3,4,2,1,0
1000117698,4,5,2,2,1,13,0
1000117699,1,6,2,1,3,11,0
1000117700,5,5,1,2,2,14,0
1000117701,4,7,3,1,3,19,0
1000117702,6,6,1,3,2,11,0
1000117703,5,5,2,1,2,18,0
1000117704,4,7,3,1,3,14,0
1000117705,1,9,2,4,3,14,0
1000117706,6,5,1,3,1,1,0
1000117707,6,6,3,2,1,12,0
1000117708,4,7,2,3,2,5,0
1000117709,2,9,3,3,3,7,0
1000117710,4,6,2,3,1,15,0
1000117711,2,8,1,4,3,16,0
1000117712,5,6,3,2,1,5,0
1000117713,2,7,2,2,3,13,0
1000117714,3,7,3,1,3,2,0
1000117715,3,8,2,4,2,8,0
1000117716,4,6,3,1,2,19,0
1000117717,1,6,2,3,1,5,0
1000117718,6,7,3,1,3,10,0
1000117719,5,4,1,1,2,18,0
1000117720,1,7,2,2,3,20,0
1000117721,4,6,3,1,2,12,0
1000117722,1,4,2,1,1,20,0
1000117723,1,4,1,2,1,11,0
1000117724,3,4,1,2,1,12,0
1000117725,6,10,3,4,3,6,0
1000117726,5,7,3,2,2,15,0
1000117727,6,8,3,2,3,5,0
1000117728,5,7,1,4,2,16,0
1000117729,4,8,2,3,3,3,0
1000117730,6,6,1,4,1,11,0
1000117731,4,5,1,1,3,8,0
1000117732,6,7,1,4,2,20,0
1000117733,6,7,1,4,2,16,0
1000117734,6,4,2,1,1,13,0
1000117735,5,7,3,2,2,15,0
1000117736,1,8,1,4,3,19,0
1000117737,5,4,1,2,1,5,0
1000117738,3,6,2,3,1,6,0
1000117739,1,7,1,4,2,6,0
1000117740,2,9,2,4,3,1,0
1000117741,3,6,1,4,1,8,0
1000117742,1,7,1,3,3,14,0
1000117743,4,7,3,2,2,14,0
1000117744,1,7,3,1,3,9,0
1000117745,4,6,2,3,1,13,0
1000117746,4,7,1,4,2,1,0
1000117747,3,7,1,3,3,9,0
1000117748,1,6,1,2,3,15,0
1000117749,1,5,1,1,3,11,0
1000117750,6,6,1,2,3,13,0
1000117751,1,8,3,4,1,16,0
1000117752,2,9,2,4,3,17,0
1000117753,4,5,1,3,1,10,0
1000117754,3,4,1,1,2,13,0
1000117755,3,8,2,3,3,15,0
1000117756,2,5,2,2,1,17,0
1000117757,4,7,3,2,2,15,0
1000117758,3,4,1,1,2,2,0
1000117759,4,7,3,2,2,7,0
1000117760,1,4,1,2,1,6,0
1000117761,2,7,1,4,2,10,0
1000117762,6,6,3,1,2,9,0
1000117763,4,9,2,4,3,15,0
1000117764,4,6,2,2,2,10,0
1000117765,6,5,3,1,1,9,0
1000117766,3,7,2,3,2,16,0
1000117767,4,6,3,1,2,3,0
1000117768,3,7,3,1,3,1,0
1000117769,2,8,2,3,3,10,0
1000117770,6,7,2,4,1,15,0
1000117771,6,6,1,4,1,11,0
1000117772,5,8,3,2,3,9,0
1000117773,3,6,2,1,3,6,0
1000117774,4,6,2,1,3,8,0
1000117775,4,5,2,1,2,20,0
1000117776,6,8,3,4,1,13,0
1000117777,2,6,2,3,1,7,0
1000117778,2,5,3,1,1,13,0
1000117779,2,4,2,1,1,4,0
1000117780,1,5,1,1,3,16,0
1000117781,4,5,2,1,2,14,0
1000117782,3,6,1,4,1,15,0
1000117783,6,6,2,2,2,18,0
1000117784,3,6,1,2,3,12,0
1000117785,6,8,3,3,2,10,0
1000117786,3,5,1,2,2,11,0
1000117787,4,7,1,3,3,1,0
1000117788,5,5,2,2,1,10,0
1000117789,5,5,1,2,2,13,0
1000117790,6,7,2,2,3,18,0
1000117791,3,7,3,2,2,18,0
1000117792,2,6,1,2,3,11,0
1000117793,5,8,3,2,3,16,0
1000117794,3,8,3,3,2,10,0
1000117795,3,7,2,2,3,4,0
1000117796,3,4,1,1,2,12,0
1000117797,6,5,1,2,2,12,0
1000117798,5,5,2,2,1,15,0
1000117799,6,5,1,2,2,12,0
1000117800,6,8,2,3,3,13,0
1000117801,4,6,3,1,2,7,0
1000117802,1,3,1,1,1,12,0
1000117803,2,6,3,1,2,6,0
1000117804,6,4,2,1,1,17,0
1000117805,5,6,2,3,1,10,0
1000117806,1,5,1,3,1,9,0
1000117807,2,6,2,1,3,10,0
1000117808,2,5,1,2,2,5,0
1000117809,3,5,3,1,1,20,0
1000117810,3,10,3,4,3,14,0
1000117811,3,6,1,3,2,9,0
1000117812,1,7,1,4,2,17,0
1000117813,6,9,2,4,3,16,0
1000117814,5,6,2,2,2,17,0
1000117815,5,5,1,1,3,9,0
1000117816,5,9,3,3,3,10,0
1000117817,3,8,2,3,3,16,0
1000117818,4,6,2,3,1,17,0
1000117819,3,5,2,2,1,7,0
1000117820,5,8,2,4,2,16,0
1000117821,5,7,3,3,1,7,0
1000117822,5,4,2,1,1,4,0
1000117823,5,5,1,2,2,19,0
1000117824,3,4,1,2,1,7,0
1000117825,5,5,1,2,2,19,0
1000117826,5,6,1,3,2,8,0
1000117827,2,7,3,1,3,16,0
1000117828,1,3,1,1,1,15,0
1000117829,1,7,3,2,2,1,0
1000117830,4,7,2,2,3,16,0
1000117831,5,5,2,1,2,7,0
1000117832,3,6,2,3,1,15,0
1000117833,3,4,1,2,1,16,0
1000117834,1,6,2,3,1,10,0
1000117835,6,5,3,1,1,5,0
1000117836,6,6,2,1,3,6,0
1000117837,3,6,2,3,1,11,0
1000117838,5,6,2,1,3,5,0
1000117839,3,7,1,3,3,13,0
1000117840,6,6,2,3,1,11,0
1000117841,2,7,2,2,3,4,0
1000117842,6,4,1,1,2,15,0
1000117843,5,7,1,4,2,18,0
1000117844,2,5,1,3,1,16,0
1000117845,5,7,3,2,2,9,0
1000117846,5,6,1,2,3,9,0
1000117847,4,6,2,2,2,12,0
1000117848,3,7,3,1,3,11,0
1000117849,1,6,2,3,1,15,0
1000117850,2,3,1,1,1,5,0
1000117851,5,6,3,2,1,14,0
1000117852,5,6,1,3,2,20,0
1000117853,3,7,1,3,3,8,0
1000117854,4,7,1,3,3,8,0
1000117855,6,6,1,2,3,7,0
1000117856,1,7,2,4,1,6,0
1000117857,2,3,1,1,1,19,0
1000117858,5,5,2,2,1,6,0
1000117859,4,6,3,2,1,5,0
1000117860,4,7,3,1,3,15,0
1000117861,5,7,3,3,1,19,0
1000117862,5,8,2,4,2,2,0
1000117863,5,5,1,1,3,9,0
1000117864,1,4,1,1,2,1,0
1000117865,5,7,2,2,3,20,0
1000117866,2,6,1,4,1,5,0
1000117867,4,7,2,2,3,19,0
1000117868,4,7,2,4,1,17,0
1000117869,4,7,2,4,1,8,0
1000117870,3,8,2,3,3,3,0
1000117871,1,4,1,2,1,3,0
1000117872,1,6,2,1,3,14,0
1000117873,3,7,3,3,1,2,0
1000117874,2,6,1,2,3,7,0
1000117875,3,9,2,4,3,6,0
1000117876,5,5,1,3,1,18,0
1000117877,4,6,2,2,2,18,0
1000117878,3,9,3,4,2,2,0
1000117879,2,8,3,3,2,20,0
1000117880,4,7,1,3,3,13,0
1000117881,3,4,2,1,1,17,0
1000117882,3,5,3,1,1,14,0
1000117883,1,8,3,2,3,1,0
1000117884,1,9,3,3,3,3,0
1000117885,6,9,3,4,2,7,0
1000117886,3,5,3,1,1,6,0
1000117887,4,6,2,1,3,11,0
1000117888,5,6,2,2,2,10,0
1000117889,5,9,2,4,3,6,0
1000117890,3,8,3,2,3,16,0
1000117891,3,8,1,4,3,17,0
1000117892,5,7,2,2,3,18,0
1000117893,2,7,2,3,2,8,0
1000117894,2,6,2,2,2,16,0
1000117895,1,5,1,2,2,9,0
1000117896,2,7,2,4,1,12,0
1000117897,2,6,2,3,1,2,0
1000117898,4,6,1,3,2,12,0
1000117899,2,8,3,2,3,14,0
1000117900,2,3,1,1,1,8,0
1000117901,3,4,2,1,1,9,0
1000117902,3,8,3,4,1,20,0
1000117903,4,4,1,1,2,12,0
1000117904,3,7,1,3,3,5,0
1000117905,2,7,2,2,3,10,0
1000117906,3,6,2,2,2,15,0
1000117907,3,10,3,4,3,11,0
1000117908,3,3,1,1,1,1,0
1000117909,1,8,3,2,3,19,0
1000117910,5,7,2,2,3,15,0
1000117911,6,8,2,4,2,13,0
1000117912,3,6,2,1,3,10,0
1000117913,6,6,2,1,3,14,0
1000117914,3,6,1,4,1,1,0
1000117915,3,7,3,1,3,20,0
1000117916,1,5,2,1,2,15,0
1000117917,4,5,3,1,1,8,0
1000117918,6,4,1,2,1,7,0
1000117919,3,5,3,1,1,11,0
1000117920,5,9,2,4,3,16,0
1000117921,1,6,1,2,3,14,0
1000117922,3,10,3,4,3,10,0
1000117923,4,8,1,4,3,15,0
1000117924,5,3,1,1,1,15,0
1000117925,5,7,2,2,3,13,0
1000117926,6,7,1,4,2,20,0
1000117927,1,5,2,1,2,20,0
1000117928,6,6,2,2,2,12,0
1000117929,3,9,3,3,3,10,0
1000117930,5,5,2,2,1,14,0
1000117931,2,6,2,1,3,17,0
1000117932,3,3,1,1,1,14,0
1000117933,1,3,1,1,1,15,0
1000117934,5,6,2,2,2,19,0
1000117935,6,8,2,3,3,19,0
1000117936,1,7,3,1,3,5,0
1000117937,2,6,3,2,1,18,0
1000117938,6,5,2,1,2,13,0
1000117939,5,7,1,3,3,10,0
1000117940,5,6,2,3,1,14,0
1000117941,3,9,3,3,3,9,0
1000117942,4,8,3,3,2,14,0
1000117943,2,6,1,3,2,9,0
1000117944,6,7,2,3,2,18,0
1000117945,5,7,2,4,1,17,0
1000117946,6,8,2,4,2,6,0
1000117947,5,7,2,3,2,4,0
1000117948,5,5,2,1,2,17,0
1000117949,4,6,2,3,1,6,0
1000117950,4,10,3,4,3,11,0
1000117951,5,7,1,3,3,16,0
1000117952,3,4,1,2,1,13,0
1000117953,6,5,3,1,1,14,0
1000117954,2,8,3,2,3,6,0
1000117955,4,6,3,2,1,16,0
1000117956,1,9,3,3,3,2,0
1000117957,3,8,2,3,3,11,0
1000117958,4,8,2,3,3,13,0
1000117959,2,8,2,4,2,11,0
1000117960,5,5,2,1,2,16,0
1000117961,4,6,1,4,1,5,0
1000117962,4,8,1,4,3,11,0
1000117963,2,5,1,2,2,6,0
1000117964,3,7,3,1,3,10,0
1000117965,4,6,2,1,3,10,0
1000117966,6,8,2,4,2,7,0
1000117967,1,6,1,2,3,7,0
1000117968,6,4,2,1,1,2,0
1000117969,1,8,1,4,3,7,0
1000117970,4,10,3,4,3,16,0
1000117971,6,7,2,2,3,13,0
1000117972,3,8,3,3,2,17,0
1000117973,6,8,3,3,2,8,0
1000117974,1,6,1,4,1,18,0
1000117975,1,5,1,2,2,5,0
1000117976,2,4,1,2,1,4,0
1000117977,4,6,2,2,2,19,0
1000117978,6,8,3,4,1,12,0
1000117979,2,5,1,1,3,13,0
1000117980,4,4,2,1,1,17,0
1000117981,2,7,2,4,1,2,0
1000117982,1,4,2,1,1,7,0
1000117983,3,5,1,3,1,7,0
1000117984,5,8,2,3,3,6,0
1000117985,2,3,1,1,1,11,0
1000117986,2,5,2,1,2,4,0
1000117987,5,7,2,2,3,6,0
